id,producto,cantidad_vendida,precio,fecha_venta
1,Cuaderno,15,350,2024-01-05
2,Lapicera,30,120,2024-01-08
3,Mochila,5,4500,2024-01-12
4,Regla,20,200,2024-01-15
5,Tijeras,10,450,2024-01-18
6,Cuaderno,22,350,2024-02-03
7,Mochila,8,4500,2024-02-07
8,Lapicera,45,120,2024-02-10
9,Tijeras,12,450,2024-02-14
10,Regla,18,200,2024-02-20
11,Cuaderno,30,350,2024-03-02
12,Lapicera,60,120,2024-03-05
13,Mochila,10,4500,2024-03-09
14,Regla,25,200,2024-03-15
15,Tijeras,8,450,2024-03-22
16,Cuaderno,18,350,2024-04-04
17,Lapicera,35,120,2024-04-08
18,Mochila,7,4500,2024-04-11
19,Tijeras,15,450,2024-04-17
20,Regla,22,200,2024-04-25
21,Cuaderno,25,350,2024-05-03
22,Lapicera,50,120,2024-05-07
23,Mochila,12,4500,2024-05-14
24,Regla,30,200,2024-05-19
25,Tijeras,20,450,2024-05-23
26,Cuaderno,35,350,2024-06-02
27,Lapicera,55,120,2024-06-06
28,Mochila,9,4500,2024-06-11
29,Regla,28,200,2024-06-18
30,Tijeras,11,450,2024-06-25
